date;ticker;family;group_col;quote;yield_val;duration;convexity
03-04-2025;BCHICQ1015;BE;BE;100,4572925;0,0314;8,276452738;78,0229924
03-04-2025;BCHICR1215;BE;BE;101,5644457;0,0314;8,314708686;79,55260011
03-12-2025;BCHICA1015;BE;BE;101,7454695;0,0272;4,512110135;24,43407717
03-12-2025;BCHICB1215;BE;BE;101,6119887;0,0275;4,669988345;25,96499022
03-12-2025;BCHICC0815;BE;BE;102,9003004;0,027;4,770479708;27,27563499
03-12-2025;BCHICD0815;BE;BE;102,8542602;0,0275;5,19039553;31,95249312
03-12-2025;BCHICE1215;BE;BE;101,8537143;0,0276;5,524037235;35,65020872
03-12-2025;BCHICF0815;BE;BE;101,312807;0,0305;5,605582743;36,80234486
03-12-2025;BCHICG0815;BE;BE;102,6124116;0,0283;6,020137724;42,35638141
03-12-2025;BCHICH1215;BE;BE;101,5513985;0,0285;6,353398844;46,55784715
03-12-2025;BCHICI0815;BE;BE;103,3350586;0,0284;6,409643274;47,8864714
03-12-2025;BCHICJ1215;BE;BE;101,7594351;0,0294;6,735999614;52,15851545
03-12-2025;BCHICK0815;BE;BE;102,4673095;0,0299;6,797963461;53,56545638
03-12-2025;BCHICL1015;BE;BE;101,6912093;0,0303;6,963017107;55,8285697
03-12-2025;BCHICM1215;BE;BE;101,3835761;0,03;7,131251119;58,25023143
03-12-2025;BCHICN0815;BE;BE;102,1529509;0,0305;7,188517651;59,70421423
03-12-2025;BCHICO1215;BE;BE;102,9608396;0,028;7,528980896;65,00825802
03-12-2025;BCHICP0815;BE;BE;104,1138426;0,028;7,582026895;66,55396254
03-12-2025;BCHICQ1015;BE;BE;103,4396562;0,0282;7,747467628;69,09228423
03-12-2025;BCHICR1215;BE;BE;102,9291695;0,0283;7,914077957;71,70638282
04-02-2025;BCHICA1015;BE;BE;102,2843198;0,0275;5,197025546;31,9911524
04-02-2025;BCHICB1215;BE;BE;102,4779343;0,0273;5,351820768;33,73195121
04-02-2025;BCHICC0815;BE;BE;101,4001727;0,0285;5,519559741;35,54307598
04-02-2025;BCHICD0815;BE;BE;101,0875348;0,0292;5,932144018;40,74852353
04-02-2025;BCHICE1215;BE;BE;101,1297403;0,03;6,174773037;44,15584716
04-02-2025;BCHICF0815;BE;BE;100,5490376;0,0302;6,343853783;46,29577389
04-02-2025;BCHICG0815;BE;BE;100,6948913;0,03;6,747595153;52,20176521
04-02-2025;BCHICH1215;BE;BE;101,0444836;0,0303;6,978444095;55,97589118
04-02-2025;BCHICI0815;BE;BE;101,2009476;0,0303;7,126903985;58,16102861
04-02-2025;BCHICJ1215;BE;BE;99,78939976;0,0331;7,333771197;61,56091202
04-02-2025;BCHICK0815;BE;BE;99,34233117;0,033;7,501673333;64,06072321
04-02-2025;BCHICL1015;BE;BE;100,3678906;0,033;7,549871989;65,54207985
04-02-2025;BCHICM1215;BE;BE;99,96664974;0,0328;7,718038243;68,12768476
04-02-2025;BCHICN0815;BE;BE;99,73067082;0,0324;7,889604341;70,84723739
04-02-2025;BCHICO1215;BE;BE;100,4852987;0,0321;8,097171069;75,01022649
04-02-2025;BCHICP0815;BE;BE;99,84137805;0,0322;8,264062268;77,71555408
04-02-2025;BCHICQ1015;BE;BE;100,6061926;0,0326;8,298119317;79,13227901
04-02-2025;BCHICR1215;BE;BE;100,1452834;0,0325;8,465941572;81,94087598
04-03-2025;BCHICA1015;BE;BE;101,134565;0,0302;5,11617746;30,97544633
04-03-2025;BCHICB1215;BE;BE;101,3875975;0,0298;5,271190738;32,69744431
04-03-2025;BCHICC0815;BE;BE;100,4072283;0,0307;5,439388483;34,50026988
04-03-2025;BCHICD0815;BE;BE;100,5834676;0,0305;5,85284992;39,70008305
04-03-2025;BCHICE1215;BE;BE;101,0735731;0,0305;6,096825692;43,14338875
04-03-2025;BCHICF0815;BE;BE;100,6476537;0,0304;6,266647057;45,28988841
04-03-2025;BCHICG0815;BE;BE;101,0549182;0,0298;6,671485209;51,18487056
04-03-2025;BCHICH1215;BE;BE;101,5815163;0,0298;6,903546431;54,97184797
04-03-2025;BCHICI0815;BE;BE;101,7756438;0,0298;7,052043687;57,13858458
04-03-2025;BCHICJ1215;BE;BE;100,3805736;0,0326;7,259276427;60,52192466
04-03-2025;BCHICK0815;BE;BE;99,82809279;0,0326;7,426733968;62,98351824
04-03-2025;BCHICL1015;BE;BE;100,8773255;0,0326;7,475244867;64,46229511
04-03-2025;BCHICM1215;BE;BE;100,3149252;0,0327;7,641847125;66,96984476
04-03-2025;BCHICN0815;BE;BE;99,90133624;0,0325;7,812371091;69,62574241
04-03-2025;BCHICO1215;BE;BE;100,3854722;0,0325;8,018037903;73,69245544
04-03-2025;BCHICP0815;BE;BE;99,66907547;0,0328;8,183717481;76,32725482
04-03-2025;BCHICQ1015;BE;BE;100,4864005;0,0331;8,217908193;77,75535662
04-03-2025;BCHICR1215;BE;BE;100,2167952;0,0327;8,387831045;80,60791321
04-04-2025;BCHICA1015;BE;BE;100,261286;0,0295;5,109972104;30,6087074
04-04-2025;BCHICB1215;BE;BE;101,839203;0,0294;5,189627364;31,83865913
04-04-2025;BCHICC0815;BE;BE;100,7929719;0,0305;5,357511901;33,60307606
04-04-2025;BCHICD0815;BE;BE;100,789337;0,0305;5,770658139;38,72304279
04-04-2025;BCHICE1215;BE;BE;101,5614725;0,0301;6,015622063;42,16980836
04-04-2025;BCHICF0815;BE;BE;101,1897137;0,0299;6,185690749;44,30259466
04-04-2025;BCHICG0815;BE;BE;101,9433749;0,0288;6,592299901;50,20561867
04-04-2025;BCHICH1215;BE;BE;102,6796622;0,0286;6,825697981;53,99873719
04-04-2025;BCHICI0815;BE;BE;102,9849082;0,0284;6,975021987;56,1790232
04-04-2025;BCHICJ1215;BE;BE;101,6635298;0,0312;7,183274247;59,55684976
04-04-2025;BCHICK0815;BE;BE;101,0975314;0,0312;7,350729036;62,0011666
04-04-2025;BCHICL1015;BE;BE;100,5638068;0,0312;7,517269623;64,48975886
04-04-2025;BCHICM1215;BE;BE;101,0370125;0,032;7,563298742;65,84982603
04-04-2025;BCHICN0815;BE;BE;100,6007991;0,0319;7,733302114;68,464633
04-04-2025;BCHICO1215;BE;BE;102,0205914;0,0308;7,946110367;72,74138366
04-04-2025;BCHICP0815;BE;BE;101,2613601;0,0311;8,111797099;75,36319493
04-04-2025;BCHICQ1015;BE;BE;100,4548701;0,0314;8,276452738;78,0229924
04-04-2025;BCHICR1215;BE;BE;101,5481351;0,0314;8,314708686;79,55260011
05-02-2025;BCHICA1015;BE;BE;102,3745672;0,0274;5,19443848;31,96895665
05-02-2025;BCHICB1215;BE;BE;102,576903;0,0272;5,349237263;33,7093566
05-02-2025;BCHICC0815;BE;BE;101,5096268;0,0283;5,517133562;35,52825898
05-02-2025;BCHICD0815;BE;BE;101,2672606;0,0289;5,929998843;40,74415566
05-02-2025;BCHICE1215;BE;BE;101,3794194;0,0296;6,173020073;44,16445866
05-02-2025;BCHICF0815;BE;BE;100,8110188;0,0297;6,342348834;46,3167748
05-02-2025;BCHICG0815;BE;BE;100,9729609;0,0296;6,746059833;52,21667547
05-02-2025;BCHICH1215;BE;BE;101,3366139;0,0298;6,977519034;56,00985227
05-02-2025;BCHICI0815;BE;BE;101,4791853;0,0299;7,125646118;58,18217017
05-02-2025;BCHICJ1215;BE;BE;99,7926851;0,0331;7,331031471;61,52070079
05-02-2025;BCHICK0815;BE;BE;99,03861847;0,0334;7,49715829;63,95085401
05-02-2025;BCHICL1015;BE;BE;99,79156519;0,0338;7,542953142;65,35444504
05-02-2025;BCHICM1215;BE;BE;99,63231596;0,0332;7,713211859;68,00963233
05-02-2025;BCHICN0815;BE;BE;99,64054047;0,0325;7,886343694;70,78444993
05-02-2025;BCHICO1215;BE;BE;100,850937;0,0316;8,097452439;75,0739955
05-02-2025;BCHICP0815;BE;BE;100,3311941;0,0316;8,264947081;77,80435331
05-02-2025;BCHICQ1015;BE;BE;101,2580759;0,0318;8,30096394;79,27634651
05-02-2025;BCHICR1215;BE;BE;100,8251522;0,0317;8,468784084;82,09018279
05-03-2025;BCHICA1015;BE;BE;101,5748075;0,0294;5,114665954;31,00355525
05-03-2025;BCHICB1215;BE;BE;101,7706115;0,0291;5,26955033;32,72047524
05-03-2025;BCHICC0815;BE;BE;100,7296183;0,0301;5,437593904;34,51730551
05-03-2025;BCHICD0815;BE;BE;100,7614599;0,0302;5,850706763;39,69548491
